ANIO,MES,CONGLOMERADO,MUESTRA,SELVIV,HOGAR,PERS_NRO,REGION,ESTRATO,LLAVE_PANEL,C203,C204,C205,C206,C207,C208,C300n,NROINF,C301_DIA,C301_MES,C301_ANIO,C303,C304,C305,C306_1,C306_2,C306_3,C306_4,C306_5,C306_6,C306_7,C306_8,C306_9,C306_10,C306_10A,C306_11,C308_COD,C309_COD,C310,C311,C317,C317A,C318_1,C318_2,C318_3,C318_4,C318_5,C318_6,C318_7,whoraT,C330,C331,P209H,C335,C338,C339_1,C341_T,C342,C344,C345_1,C348,C347_T,C350,C352,C353,C354,C355,C356,C357_I,C358,C359,SEGURO1,C366,C366_1,C366_2,C375_1,C375_2,C375_3,C375_4,C375_5,C375_6,C376,C377,OCUP300,I339_1,D341_T,I342,D344,I345_1,I348,D347_T,D350,INGTOT,INGTOTP,RESIDENT,fa_aso22
2022,08,17270,1,0108,1,2,1,1,202102172701010813,3,1,2, ,2,16,2,2,6,7,2006,1, , , , , , , , , , , , , , ,5212,4771,3,5,1,2,0,3,3,3,3,3,3,18,1, ,2,1,4,346, , , , , , , , , , , , , , ,1,5,5,3, ,2,2,2,2,2,2,10,7,1,346, , , , , , , ,346,346,1,715.618530273438
2022,08,17270,1,0109,1,1,1,1,202102172701010911,1,1,2, ,2,50,1,1,15,4,1972,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,1,2, , , ,1,5,4,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , ,1,302.920623779297
2022,08,17270,1,0109,1,2,1,1,202102172701010912,3,1,2, ,2,16,2,2,8,11,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,2, , , , ,1,5,5,4, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , ,1,423.183837890625
2022,08,17270,1,0110,1,1,1,1,202102172701011011,1,1,2, ,1,59,1,1,2,6,1963,1, , , , , , , , , , , , , , ,5120,5610,2, ,1,1,0,8,8,8,8,8,8,52,1, ,1,2, , , , , , ,50, , , , , , , , , ,1,6,9,3, ,2,2,2,2,2,2,10,7,1, , ,86, , ,50, , ,136,86,1,354.300140380859
2022,08,17270,1,0110,1,2,1,1,202102172701011012,2,1,2, ,2,53,2,2,2,10,1968,1, , , , , , , , , , , , , , ,9112,8510,3,5,2,26,0,10,10,10,10,10,10,60,1, ,2,2,4,1164, , , , , , , , , , , , , , ,1,1,10,1, ,2,2,2,2,2,2,10,7,1,1164, , , , , , , ,1164,1164,1,403.432983398438
2022,08,17270,1,0110,1,3,1,1,202102172701011014,3,1,2, ,2,27,3,3,24,12,1994,1, , , , , , , , , , , , , , ,8156,1520,3,5,1,2,13,13,13,0,13,13,0,65,1, ,2,1,4,1075, , , , , , , , , , , , , , ,1,5,10,4, ,2,2,2,2,2,2,10,7,1,1075, , , , , , , ,1075,1075,1,583.842712402344
2022,08,17272,1,0103,1,1,1,1,202205172721010311,1,1,2, ,1,34,1,1,3,1,1988,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,5,2,1,6,6,5, ,2,2,2,2,2,2,10,7,2, , , , , , , , , , ,1,395.216217041016
2022,08,17272,1,0103,1,2,1,1,202205172721010312,2,1,2, ,2,28,2,2,19,11,1993,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,6, , ,1,5,6,5, ,2,2,2,2,2,2,10,1,4, , , , , , , , , , ,1,355.898315429688
2022,08,17272,1,0103,1,3,1,1,202205172721010313,3,1,2, ,1,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,08,17272,1,0103,1,4,1,1,202205172721010314,3,1,2, ,1,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,08,17272,1,0103,1,5,1,1,202205172721010315,3,1,2, ,1,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,08,17272,1,0103,1,6,1,1,202205172721010316,3,1,2, ,2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,08,17272,1,0105,1,1,1,1,202205172721010511,1,1,2, ,1,61,1,1,26,12,1960,2,2,1, , , , , , , , , , , , ,7354,1410,2, ,1,2,0,0,0,0,0,0,0,36,2,28,1,2, , , , , ,31, , , , , , , , , , ,1,5,5,3, ,2,2,2,2,2,2,10,7,1, , ,800, ,31, , , ,831,800,1,219.824005126953
2022,08,17272,1,0105,1,2,1,1,202205172721010512,2,1,2, ,2,56,2,2,17,5,1966,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,1,2,1,5,4,5, ,2,2,2,2,2,2,10,7,2, , , , , , , , , , ,1,306.526824951172
2022,08,17272,1,0105,1,3,1,1,202205172721010513,3,1,2, ,1,25,3,3,10,9,1996,1, , , , , , , , , , , , , , ,7221,2599,3,5,1,2,0,6,6,6,6,6,6,36,1, ,2,2,4,1166, , , , , , , , , , , , , , ,1,5,8,2, ,1,2,2,2,2,2,10,7,1,1166, , , , , , , ,1166,1166,1,475.812469482422
2022,08,17272,1,0105,1,4,1,1,202205172721010514,3,1,2, ,2,27,4,99, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , , , ,1, 
2022,08,17272,1,0105,1,5,1,1,202205172721010515,5,1,2, ,1,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,08,17272,1,0105,1,6,1,1,202205172721010516,8,1,2, ,2,16,6,6,15,11,2005,1, , , , , , , , , , , , , , ,5212,4711,3,5,1,3,5,6,6,6,6,6,5,40,1, ,2,2,4,1548, , , , , , , , , , , , , , ,2,5,5,4, ,2,2,2,2,2,2,10,7,1,1548, , , , , , , ,1548,1548,1,638.453186035156
2022,08,17272,1,0105,1,7,1,1,202208172721010517,3,2, ,2,2,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
2022,08,17272,1,0106,1,1,1,1,202205172721010611,1,1,2, ,2,60,1,1,1,8,1962,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,7, , ,1,6,4,5, ,2,2,2,2,2,2,1,1,3, , , , , , , , , , ,1,306.52685546875
2022,08,17272,1,0106,1,2,1,1,202205172721010612,3,1,1, ,1,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
2022,08,17272,1,0206,1,1,1,1,202205172721020611,1,1,2, ,2,55,1,1,20,3,1967,1, , , , , , , , , , , , , , ,9111,9700,6, ,1,1,0,12,12,12,12,12,12,72,1, ,1,2,4,776,13, , , , , , , , , , , , , ,1,5,5,4, ,2,2,2,2,2,2,10,7,1,776,390, , , , , , ,1166,1166,1,157.48176574707
2022,08,17272,1,0206,1,2,1,1,202205172721020612,3,1,2, ,1,32,2,2,27,10,1989,1, , , , , , , , , , , , , , ,4416,8530,7,2,5,9998,0,4,0,4,0,4,0,12,1, ,2,1,5, ,920, , , , , , , , , , , , , ,1,1,11,5, ,2,2,2,2,2,2,10,7,1, ,920, , , , , , ,920,920,1,4012.54956054688
2022,09,17273,1,0024,1,1,1,1,202206172731002411,1,1,2, ,1,39,1,1,20,1,1983,1, , , , , , , , , , , , , , ,4321,4649,3,5,3,51,0,9,9,9,9,9,9,54,1, ,2,2,4,2044, , , , , , , , , , , , , , ,1,1,5,3, ,2,2,2,2,2,2,10,1,1,2044, , , , , , , ,2044,2044,1,557.929992675781
2022,09,17273,1,0024,1,2,1,1,202206172731002412,2,1,2, ,2,40,2,2,8,5,1982,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,1,1,6,5, ,2,2,2,2,2,2,10,1,4, , , , , , , , , , ,1,397.130004882813
2022,09,17273,1,0024,1,3,1,1,202206172731002413,3,1,2, ,2,17,3,3,13,2,2005,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , , , ,2,1,6,5, ,2,2,2,2,2,2,10,7,4, , , , , , , , , , ,1,472.842712402344
