pano,pmes,conglome,submuestra,vivienda,hogar,codperso,dominio,estrato,codpanel,p103,p104,p105,p106,p107,p108,p109a,p109b,p109c,p200n,p200i,p200a,p200b,p200bb,p200c,p200d,p200dd,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p20411,p204a,p205a,p206,P206AA,p207a,p207b,p208b1,p208b2,p208b3,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209bb,p209cc,p209h,p209ee,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p222,P223A1,P223A2,P223A3,P223A4,P223A5,P223A6,P223A7,P224,P225,ocu200,i211a,i211b,i212a,i212b,i212c,i212d,ingtot,ingprin,resident,fa_mjj22
2022,05,017358,005,0108,11,03,8,1,21051103,3,1,2, ,1,35,9,2, ,3,3,15,5,2022,21,5,2022,9,5,1987,1, , , , , , , , , , , , , , ,247,8549,2, ,1,1,99,99,2017,0,4,4,4,4,4,4,24,1, ,2,2, , , ,520,0, , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1, , ,520,0, , ,520,520,1,178.327487101836
2022,05,017358,005,0108,11,04,8,1,21051104,3,1,2, ,1,23,6,5, ,4,4,15,5,2022,21,5,2022,11,7,1998,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , ,0, ,1,6,0,0,0,0,0,0,1,6,4,4, , , , , , , , ,1,159.571351884011
2022,05,017358,005,0109,11,01,8,1,21051102,1,1,2, ,1,21,8,3, ,1,1,15,5,2022,21,5,2022,19,6,2000,1, , , , , , , , , , , , , , ,391,7310,3,5,1,40,99,10,2021,0,8,8,8,8,8,0,40,1, ,1,2,4,2500,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,2500,0, , , , ,2500,2500,1,159.571351884011
2022,05,017399,005,0103,11,01,8,1,21051101,1,1,2, ,1,58,4,5, ,1,1,24,4,2022,30,4,2022,6,1,1964,1, , , , , , , , , , , , , , ,876,7830,4,4,2, ,99,99,2010,0,8,8,8,8,8,8,48,1, ,2,2,4,1200,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1200,0, , , , ,1200,1200,1,193.49779037354
2022,05,017399,005,0103,11,02,8,1,21051103,3,1,1, ,1,34,6,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022,05,017399,005,0103,11,03,8,1,21051104,4,1,1, ,2,30,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022,05,017399,005,0103,11,04,8,1,21051105,10,1,1, ,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022,05,017399,005,0104,11,01,8,1,21051101,1,1,2, ,1,63,6,5, ,1,2,1,5,2022,7,5,2022,19,11,1958,1, , , , , , , , , , , , , , ,885,4922,2, ,1,1,99,99,2000,10,10,10,10,10,10,10,70,1, ,1,2, , , ,1212,0, , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1, , ,1212,0, , ,1212,1212,1,193.49779037354
2022,05,017399,005,0104,11,02,8,1,21051102,2,1,2, ,2,63,6,5, ,2,2,1,5,2022,7,5,2022,28,3,1959,1, , , , , , , , , , , , , , ,942,8121,4,4,2, ,99,99,2016,8,8,8,8,8,8,0,48,1, ,2,2,4,930,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,930,0, , , , ,930,930,1,174.019054883535
2022,05,017399,005,0104,11,03,8,1,21051103,3,1,2, ,1,27,9,4, ,3,3,1,5,2022,7,5,2022,1,5,1995,2,1, , , , , , , , , , , , , ,319,8220,3,5,2, ,99,99,2016,0,0,0,0,0,0,0,0,2,48,1,2,4,2200,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,2200,0, , , , ,2200,2200,1,245.200294765024
2022,05,017399,005,0104,11,04,8,1,21051104,3,1,2, ,1,23,7,2, ,4,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, , , , , , , , ,1,0
2022,05,017399,005,0105,11,01,8,1,21051101,1,1,2, ,1,63,6,5, ,1,2,24,4,2022,30,4,2022,21,2,1959,1, , , , , , , , , , , , , , ,564,8010,3,4,2, ,99,99,2020,0,8,8,8,8,8,0,40,1, ,1,2,4,1200,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,1200,0, , , , ,1200,1200,1,193.49779037354
2022,05,017399,005,0105,11,02,8,1,21051102,3,1,2, ,1,32,6,5, ,2,2,24,4,2022,30,4,2022,13,7,1989,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,1,1,1,0, ,1,5,0,0,0,0,0,0,1,6,4,3, , , , , , , , ,1,245.200294765024
2022,05,017399,005,0106,11,01,8,1,21051101,1,1,2, ,2,50,6,5, ,1,1,24,4,2022,30,4,2022,15,7,1971,1, , , , , , , , , , , , , , ,772,1410,2, ,1,3,99,99,2010,0,6,6,6,6,6,6,36,1, ,2,1, , , ,930,0, , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1, , ,930,0, , ,930,930,1,174.019054883535
2022,05,017399,005,0106,11,02,8,1,21051102,3,1,2, ,2,27,9,1, ,2,2,24,4,2022,30,4,2022,29,6,1994,1, , , , , , , , , , , , , , ,772,1410,4,5,1,4,25,4,2022,0,13,6,6,6,6,6,43,1, ,1,2,2,25,0, , , , ,0, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1,108,0, , , , ,108,108,1,236.245070868471
2022,05,017399,005,0106,11,03,8,1,21051103,3,1,2, ,1,15,5,3, ,3,3,24,4,2022,30,4,2022,23,9,2006,2,2,2, ,2,2,2,2,2,2,2,2,1,2,2,772,1410,5,5,1,3,99,99,2020,0,1,1,1,0,1,1,5,1, ,2,2, , , , , , , , ,2,4,2, , ,0, ,2,6,0,0,0,0,0,0,1,5,4,4, , , , , , , , ,1,219.410608840515
