pano,pmes,conglome,submuestra,vivienda,hogar,codperso,dominio,estrato,codpanel,p103,p104,p105,p106,p107,p108,p109a,p109b,p109c,p200n,p200i,p200a,p200b,p200bb,p200c,p200d,p200dd,p200e,p200f,p200g,p201,p202,p203,p204,p2041,p2042,p2043,p2044,p2045,p2046,p2047,p2048,p2049,p20410,p20411,p204a,p205a,p206,P206AA,p207a,p207b,p208b1,p208b2,p208b3,p209a,p209b,p209c,p209d,p209e,p209f,p209g,p209t,p209bb,p209cc,p209h,p209ee,p210,p211a,p211b,p212a,p212b,p212c,p212d,p212e,p213,p214,p215,p216,p217,p218,p219,p220,p222,P223A1,P223A2,P223A3,P223A4,P223A5,P223A6,P223A7,P224,P225,ocu200,i211a,i211b,i212a,i212b,i212c,i212d,ingtot,ingprin,resident,fa_fma22
2022,02,017285,003,0086,11,04,8,1,21021104,3,1,2, ,2,6,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,02,017285,003,0088,11,01,8,1,21021101,1,1,2, ,1,59,6,5, ,1,1,6,2,2022,12,2,2022,11,12,1962,1, , , , , , , , , , , , , , ,772,1410,4,5,1,5,7,2,2022,0,12,12,0,0,12,12,48,2,60,1,1,2,280,0, , , , ,1, , , , , , , , ,5,0,0,0,0,0,0,1,6,4,1,1212,0, , , , ,1212,1212,1,284.766242800009
2022,02,017285,003,0088,11,02,8,1,21021102,2,1,2, ,2,60,8,3, ,2,2,6,2,2022,12,2,2022,14,5,1961,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,5,2, , ,0, ,1,5,0,0,0,0,0,0,1,6,4,4, , , , , , , , ,1,258.847504328805
2022,02,017285,003,0088,11,03,8,1,22021103,3,1,2, ,1,26,8,3, ,3,3,6,2,2022,12,2,2022,19,7,1995,1, , , , , , , , , , , , , , ,391,4752,3,5,2, ,99,99,2019,0,8,8,8,8,8,0,40,1, ,2,2,4,3000,0, , , , ,1, , , , , , , , ,1,0,0,0,0,0,0,1,6,4,1,3000,0, , , , ,3000,3000,1,364.534483021446
2022,02,017285,003,0088,11,04,8,1,22021104,3,1,2, ,2,26,9,4, ,4,4,6,2,2022,12,2,2022,19,6,1995,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,4,1,2, ,0, ,1,6,0,0,0,0,0,0,1,6,4,4, , , , , , , , ,1,352.136994882449
2022,02,017285,003,0107,11,01,8,1,21021101,1,1,2, ,1,57,8,3, ,1,1,6,2,2022,12,2,2022,4,1,1965,1, , , , , , , , , , , , , , ,314,4520,2, ,1,1,99,99,2015,0,8,8,8,8,8,8,48,1, ,1,2, , , ,800,0, , ,1, , , , , , , , ,6,0,0,0,0,0,0,1,6,4,1, , ,800,0, , ,800,800,1,284.766242800009
2022,02,017285,003,0107,11,02,8,1,21021102,2,1,2, ,2,44,6,5, ,2,2,13,2,2022,19,2,2022,30,5,1977,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,3,4,1,6,0,0,0,0,0,0,1,6,4,2, , , , , , , , ,1,352.136994882449
2022,02,017285,003,0107,11,03,8,1,22021103,3,1,2, ,1,17,5,1, ,3,3,6,2,2022,12,2,2022,28,8,2004,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , ,3,2,1,6,0,0,0,0,1,0,0,6,4,2, , , , , , , , ,1,343.158415951583
2022,02,017285,003,0107,11,04,8,1,22021104,3,1,2, ,1,11,3, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
2022,02,017285,003,0107,11,05,8,1,22021105,3,1,2, ,2,9,3, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
